0	6	11	14	16	21	22	25	32	33	34	46	61	70	73	78	88	89	90	95
8	11	14	17	18	24	29	37	44	49	51	55	62	63	64	76	82	84	93	97
8	10	11	17	20	22	28	34	45	47	48	54	55	57	67	74	79	85	91	99
5	12	14	25	30	35	39	41	44	49	51	55	60	63	64	67	78	83	93	98
0	8	17	20	28	32	39	42	43	51	54	59	65	69	71	73	87	92	98	99
12	13	17	20	24	27	30	33	35	42	47	48	58	72	73	74	75	76	80	93
3	6	18	19	23	36	39	45	46	50	56	59	64	70	73	85	92	94	97	99
0	5	7	10	11	19	26	33	41	47	53	57	59	65	74	75	83	84	94	99
0	1	3	7	9	10	17	21	22	29	30	32	36	60	67	69	70	73	77	98
8	9	25	28	34	38	41	42	47	51	55	60	63	65	79	81	86	87	95	98
8	14	16	24	34	35	46	51	53	54	58	64	71	74	78	79	83	87	93	94
5	10	16	20	21	22	28	32	36	37	39	43	49	52	56	63	65	81	88	89
0	2	3	6	32	35	42	47	56	58	59	66	68	75	76	79	82	84	88	91
3	4	11	13	18	29	30	36	37	40	43	52	55	59	76	81	83	85	86	97
4	5	12	13	14	15	19	22	26	29	31	38	41	48	54	65	73	92	94	97
1	10	11	12	13	16	22	29	45	46	48	49	51	57	59	63	73	78	91	94
1	13	19	22	29	30	31	37	38	39	43	47	59	61	78	79	92	96	97	98
0	5	16	32	34	40	46	47	59	60	69	70	76	78	79	85	91	92	96	97
0	8	10	11	13	18	21	25	31	33	36	48	53	67	77	82	86	94	98	99
20	26	30	31	42	43	51	55	59	60	61	65	70	71	72	75	84	90	93	97
2	7	8	16	26	29	38	41	45	54	59	67	71	73	75	77	89	92	97	99
0	5	11	13	23	29	33	37	38	41	42	45	49	56	79	84	85	93	94	95
4	17	18	19	24	25	26	28	31	32	37	40	41	53	60	64	77	78	89	99
1	11	13	23	32	41	42	43	45	46	48	49	50	51	59	66	75	86	94	95
5	19	21	31	45	46	47	48	49	59	64	73	82	85	88	92	93	94	95	98
3	4	5	13	15	19	27	30	32	33	42	48	49	51	53	66	78	81	88	92
1	3	6	16	19	21	31	32	39	56	58	59	61	71	75	82	84	86	91	98
5	24	33	37	41	44	45	49	54	56	57	60	64	65	67	68	73	85	89	96
1	2	5	9	11	27	29	42	53	61	68	69	74	78	84	85	86	87	93	96
0	5	15	22	23	24	29	33	34	36	40	42	43	49	60	61	71	72	79	97
0	1	7	8	10	13	14	15	24	35	43	44	48	52	53	64	68	73	79	94
5	12	17	20	23	28	29	39	41	42	49	66	67	76	79	80	83	92	94	95
6	11	12	13	14	23	28	33	34	39	49	52	56	60	71	76	82	86	90	93
2	9	12	14	19	20	23	24	28	44	45	51	54	58	61	66	77	79	82	89
4	8	11	12	14	22	23	28	36	42	47	48	49	53	54	60	67	85	88	99
5	9	16	17	43	50	51	55	56	57	58	65	69	71	76	78	85	86	88	89
1	3	6	9	17	20	21	35	38	43	44	50	52	55	73	74	82	97	98	99
2	4	11	12	20	23	30	35	36	49	53	55	56	57	58	61	66	83	98	99
0	2	5	9	11	17	18	24	26	30	33	38	44	52	57	70	72	78	81	84
5	7	8	9	16	25	41	43	51	55	57	62	67	74	77	80	83	86	90	99
4	9	11	22	26	29	33	37	41	47	50	52	58	64	65	71	77	82	86	98
3	12	18	20	21	29	35	41	47	48	64	67	73	74	75	80	83	86	89	99
6	8	17	18	19	30	31	32	39	53	54	58	75	77	84	86	90	93	94	96
0	8	15	18	23	28	32	36	38	40	44	52	54	72	77	78	80	81	87	99
0	1	3	14	18	24	30	33	37	41	42	57	67	68	69	70	74	80	86	90
0	2	5	9	12	24	25	28	31	32	41	45	50	63	78	81	93	94	97	98
7	10	11	18	21	31	34	39	42	50	70	75	78	80	82	89	92	95	96	97
0	5	9	13	14	15	18	30	34	35	37	45	47	56	64	68	70	74	88	98
21	29	31	37	40	44	45	50	55	61	62	79	80	81	83	85	86	88	95	97
0	6	8	20	24	26	27	28	30	34	39	40	42	43	54	66	68	71	73	82
1	3	4	10	16	21	40	41	46	47	51	53	57	60	63	75	82	83	89	98
1	6	9	13	18	26	31	37	45	50	53	65	69	73	80	81	85	87	89	99
6	8	10	12	18	21	28	32	34	39	41	42	49	50	56	59	62	82	86	95
